occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID,eventID
MEAS_C2404-2_black sea bass_15,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_15,weight,145,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_15,retained,Y,,,
MEAS_C2404-2_black sea bass_16,total length,381,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_16,weight (recorded),680,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_16,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_16,weight,680,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_16,retained,Y,,,
MEAS_C2404-2_black sea bass_17,total length,221,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_17,weight (recorded),190,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_17,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_17,weight,190,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_17,retained,Y,,,
MEAS_C2404-2_black sea bass_18,total length,280,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_18,weight (recorded),275,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_18,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_18,weight,275,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_18,retained,N,,,
MEAS_C2404-2_black sea bass_19,total length,184,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_19,weight (recorded),125,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_19,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_19,weight,125,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_19,retained,N,,,
MEAS_C2404-2_black sea bass_20,total length,215,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_20,weight (recorded),145,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_20,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_20,weight,145,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_20,retained,N,,,
MEAS_C2404-2_black sea bass_21,total length,236,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_21,weight (recorded),185,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_21,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_21,weight,185,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_21,retained,Y,,,
MEAS_C2404-2_black sea bass_22,total length,268,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_22,weight (recorded),245,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_22,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_22,weight,245,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_22,retained,Y,,,
MEAS_C2404-2_black sea bass_23,total length,312,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_23,weight (recorded),355,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_23,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_23,weight,355,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_23,retained,Y,,,
MEAS_C2404-2_black sea bass_24,total length,281,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_24,weight (recorded),295,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_24,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_24,weight,295,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_24,retained,Y,,,
MEAS_C2404-2_black sea bass_25,total length,190,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_25,weight (recorded),85,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_25,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_25,weight,85,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_25,retained,Y,,,
MEAS_C2404-2_black sea bass_26,total length,286,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_26,weight (recorded),290,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_26,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_26,weight,290,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_26,retained,N,,,
MEAS_C2404-2_black sea bass_27,total length,299,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_27,weight (recorded),120,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_27,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_27,weight,120,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_27,retained,N,,,
MEAS_C2404-2_black sea bass_28,total length,196,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_28,weight (recorded),115,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_28,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_28,weight,115,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_28,retained,N,,,
MEAS_C2404-2_black sea bass_29,total length,202,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_29,weight (recorded),150,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_29,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_29,weight,150,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_29,retained,N,,,
MEAS_C2404-2_black sea bass_30,total length,219,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_30,weight (recorded),225,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_30,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_30,weight,225,g,http://qudt.org/vocab/unit/GM,
MEAS_C2404-2_black sea bass_30,retained,N,,,
MEAS_C2404-2_black sea bass_31,total length,177,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_C2404-2_black sea bass_31,weight (recorded),105,g,http://qudt.org/vocab/unit/GM,
