occurrenceID,measurementType,measurementValue,measurementUnit,measurementUnitID,eventID
MEAS_UM-12_black sea bass_65,total length,189,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UM-12_black sea bass_65,weight (recorded),110,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_65,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_65,weight,110,g,http://qudt.org/vocab/unit/GM,
MEAS_UM-12_black sea bass_65,retained,N,,,
MEAS_UJ-11_black sea bass_66,total length,251,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_66,weight (recorded),205,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_66,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_66,weight,205,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_66,retained,Y,,,
MEAS_UJ-11_black sea bass_67,total length,201,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_67,weight (recorded),170,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_67,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_67,weight,170,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_67,retained,Y,,,
MEAS_UJ-11_black sea bass_68,total length,195,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_68,weight (recorded),145,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_68,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_68,weight,145,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_68,retained,Y,,,
MEAS_UJ-11_scup_69,total length,200,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_scup_69,weight (recorded),175,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_scup_69,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_scup_69,weight,175,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_scup_69,retained,N,,,
MEAS_UJ-11_black sea bass_70,total length,221,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_70,weight (recorded),205,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_70,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_70,weight,205,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_70,retained,Y,,,
MEAS_UJ-11_black sea bass_71,total length,203,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_71,weight (recorded),130,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_71,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_71,weight,130,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_71,retained,Y,,,
MEAS_UJ-11_black sea bass_72,total length,246,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_72,weight (recorded),235,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_72,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_72,weight,235,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_72,retained,Y,,,
MEAS_UJ-11_black sea bass_73,total length,311,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_73,weight (recorded),375,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_73,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_73,weight,375,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_73,retained,Y,,,
MEAS_UJ-11_black sea bass_74,total length,228,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_74,weight (recorded),175,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_74,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_74,weight,175,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_74,retained,Y,,,
MEAS_UJ-11_black sea bass_75,total length,200,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_75,weight (recorded),130,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_75,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_75,weight,130,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_75,retained,N,,,
MEAS_UJ-11_black sea bass_76,total length,178,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UJ-11_black sea bass_76,weight (recorded),120,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_76,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_76,weight,120,g,http://qudt.org/vocab/unit/GM,
MEAS_UJ-11_black sea bass_76,retained,N,,,
MEAS_UH-11_black sea bass_77,total length,233,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_77,weight (recorded),175,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_77,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_77,weight,175,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_77,retained,Y,,,
MEAS_UH-11_black sea bass_78,total length,204,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_78,weight (recorded),140,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_78,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_78,weight,140,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_78,retained,Y,,,
MEAS_UH-11_black sea bass_79,total length,300,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_79,weight (recorded),430,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_79,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_79,weight,430,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_79,retained,Y,,,
MEAS_UH-11_black sea bass_80,total length,245,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_80,weight (recorded),210,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_80,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_80,weight,210,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_80,retained,Y,,,
MEAS_UH-11_black sea bass_81,total length,257,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_81,weight (recorded),235,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_81,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_81,weight,235,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_81,retained,Y,,,
MEAS_UH-11_black sea bass_82,total length,295,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_82,weight (recorded),310,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_82,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_82,weight,310,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_82,retained,N,,,
MEAS_UH-11_black sea bass_83,total length,214,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_83,weight (recorded),160,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_83,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_83,weight,160,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_83,retained,N,,,
MEAS_UH-11_black sea bass_84,total length,384,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_84,weight (recorded),585,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_84,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_84,weight,585,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_84,retained,Y,,,
MEAS_UH-11_black sea bass_85,total length,245,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_85,weight (recorded),225,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_85,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_85,weight,225,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_85,retained,Y,,,
MEAS_UH-11_black sea bass_86,total length,247,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_86,weight (recorded),250,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_86,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_86,weight,250,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_86,retained,Y,,,
MEAS_UH-11_black sea bass_87,total length,190,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_87,weight (recorded),125,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_87,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_87,weight,125,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_87,retained,Y,,,
MEAS_UH-11_black sea bass_88,total length,196,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_88,weight (recorded),110,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_88,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_88,weight,110,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_88,retained,Y,,,
MEAS_UH-11_black sea bass_89,total length,234,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_89,weight (recorded),175,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_89,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_89,weight,175,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_89,retained,N,,,
MEAS_UH-11_black sea bass_90,total length,294,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_90,weight (recorded),360,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_90,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_90,weight,360,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_90,retained,N,,,
MEAS_UH-11_black sea bass_91,total length,287,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_91,weight (recorded),230,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_91,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_91,weight,230,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_91,retained,N,,,
MEAS_UH-11_black sea bass_92,total length,207,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_92,weight (recorded),135,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_92,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_92,weight,135,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_92,retained,N,,,
MEAS_UH-11_black sea bass_93,total length,246,mm,http://qudt.org/vocab/unit/MilliM,
MEAS_UH-11_black sea bass_93,weight (recorded),340,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_93,scale tare weight,0,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_93,weight,340,g,http://qudt.org/vocab/unit/GM,
MEAS_UH-11_black sea bass_93,retained,N,,,
,wind speed,2024-05-10 00:00:00,kn,http://qudt.org/vocab/unit/KN,C2404-1
,wind direction,SW,,,C2404-1
,wave height,2024-02-04 00:00:00,,,C2404-1
,cloud cover,5,tenths,,C2404-1
,ropeless gear ID,BCB,,,C2404-1
,cruise ID,2404,,,C2404-1
,wind speed,2024-05-10 00:00:00,kn,http://qudt.org/vocab/unit/KN,C2404-2
,wind direction,SW,,,C2404-2
,wave height,2024-02-04 00:00:00,,,C2404-2
,cloud cover,5,tenths,,C2404-2
,ropeless gear ID,337,,,C2404-2
,cruise ID,2404,,,C2404-2
,wind speed,2024-05-10 00:00:00,kn,http://qudt.org/vocab/unit/KN,UM-15
,wind direction,SW,,,UM-15
,wave height,2024-02-04 00:00:00,,,UM-15
,cloud cover,5,tenths,,UM-15
,ropeless gear ID,355,,,UM-15
,cruise ID,2404,,,UM-15
,wind speed,2024-05-10 00:00:00,kn,http://qudt.org/vocab/unit/KN,UM-12
,wind direction,SW,,,UM-12
,wave height,2024-02-04 00:00:00,,,UM-12
,cloud cover,5,tenths,,UM-12
,ropeless gear ID,BCA,,,UM-12
,cruise ID,2404,,,UM-12
,wind speed,2024-05-10 00:00:00,kn,http://qudt.org/vocab/unit/KN,UJ-11
,wind direction,SW,,,UJ-11
,wave height,2024-01-03 00:00:00,,,UJ-11
,cloud cover,5,tenths,,UJ-11
,ropeless gear ID,335,,,UJ-11
,cruise ID,2404,,,UJ-11
,wind speed,2024-05-10 00:00:00,kn,http://qudt.org/vocab/unit/KN,UH-11
,wind direction,SW,,,UH-11
,wave height,2024-01-03 00:00:00,,,UH-11
,cloud cover,5,tenths,,UH-11
,ropeless gear ID,3CD,,,UH-11
,cruise ID,2404,,,UH-11
,wave height,3,,,C2404-1
,cloud cover,4,tenths,,C2404-1
,ropeless gear ID,BCB,,,C2404-1
,cruise ID,2404,,,C2404-1
,wave height,2024-02-03 00:00:00,,,C2404-2
,cloud cover,4,tenths,,C2404-2
,ropeless gear ID,337,,,C2404-2
,cruise ID,2404,,,C2404-2
,wave height,3,,,UM-15
,cloud cover,8,tenths,,UM-15
,ropeless gear ID,355,,,UM-15
,cruise ID,2404,,,UM-15
,wave height,3,,,UM-12
,cloud cover,8,tenths,,UM-12
,ropeless gear ID,BCA,,,UM-12
,cruise ID,2404,,,UM-12
,wave height,3,,,UJ-11
,cloud cover,8,tenths,,UJ-11
,ropeless gear ID,335,,,UJ-11
,cruise ID,2404,,,UJ-11
,wave height,3,,,UH-11
,cloud cover,8,tenths,,UH-11
,ropeless gear ID,3CD,,,UH-11
,cruise ID,2404,,,UH-11
,pot position,15,,,C2404-1
,pot ID,36.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,15,,,C2404-1
,pot ID,36.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,14,,,C2404-1
,pot ID,80.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,13,,,C2404-1
,pot ID,30.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,13,,,C2404-1
,pot ID,30.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,13,,,C2404-1
,pot ID,30.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,12,,,C2404-1
,pot ID,29.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,12,,,C2404-1
,pot ID,29.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,12,,,C2404-1
,pot ID,29.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,11,,,C2404-1
,pot ID,22.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,11,,,C2404-1
,pot ID,22.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,10,,,C2404-1
,pot ID,37.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,9,,,C2404-1
,pot ID,74.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,8,,,C2404-1
,pot ID,93.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,8,,,C2404-1
,pot ID,93.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,7,,,C2404-1
,pot ID,24.0,,,C2404-1
,distance category,far,,,C2404-1
,pot position,6,,,C2404-1
,pot ID,42.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,5,,,C2404-1
,pot ID,18.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,4,,,C2404-1
,pot ID,43.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,3,,,C2404-1
,pot ID,89.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,3,,,C2404-1
,pot ID,89.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,3,,,C2404-1
,pot ID,89.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,2,,,C2404-1
,pot ID,10.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,1,,,C2404-1
,pot ID,21.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,1,,,C2404-1
,pot ID,21.0,,,C2404-1
,distance category,near,,,C2404-1
,pot position,15,,,C2404-2
,pot ID,41.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,14,,,C2404-2
,pot ID,65.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,13,,,C2404-2
,pot ID,99.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,12,,,C2404-2
,pot ID,45.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,11,,,C2404-2
,pot ID,82.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,10,,,C2404-2
,distance category,far,,,C2404-2
,pot position,9,,,C2404-2
,pot ID,86.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,9,,,C2404-2
,pot ID,86.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,8,,,C2404-2
,pot ID,98.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,7,,,C2404-2
,pot ID,16.0,,,C2404-2
,distance category,far,,,C2404-2
,pot position,6,,,C2404-2
,pot ID,97.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,5,,,C2404-2
,pot ID,100.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,5,,,C2404-2
,pot ID,100.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,4,,,C2404-2
,pot ID,96.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,4,,,C2404-2
,pot ID,96.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,3,,,C2404-2
,pot ID,95.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,2,,,C2404-2
,pot ID,3.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,2,,,C2404-2
,pot ID,3.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,1,,,C2404-2
,pot ID,90.0,,,C2404-2
,distance category,near,,,C2404-2
,pot position,15,,,UM-15
,pot ID,50.0,,,UM-15
,distance category,far,,,UM-15
,pot position,15,,,UM-15
,pot ID,50.0,,,UM-15
,distance category,far,,,UM-15
,pot position,14,,,UM-15
,pot ID,35.0,,,UM-15
,distance category,far,,,UM-15
,pot position,13,,,UM-15
,pot ID,47.0,,,UM-15
,distance category,far,,,UM-15
,pot position,12,,,UM-15
,pot ID,8.0,,,UM-15
,distance category,far,,,UM-15
,pot position,11,,,UM-15
,pot ID,17.0,,,UM-15
,distance category,far,,,UM-15
,pot position,11,,,UM-15
,pot ID,17.0,,,UM-15
,distance category,far,,,UM-15
,pot position,10,,,UM-15
,pot ID,63.0,,,UM-15
,distance category,far,,,UM-15
,pot position,9,,,UM-15
,pot ID,14.0,,,UM-15
,distance category,far,,,UM-15
,pot position,9,,,UM-15
,pot ID,14.0,,,UM-15
,distance category,far,,,UM-15
,pot position,8,,,UM-15
,pot ID,71.0,,,UM-15
,distance category,far,,,UM-15
,pot position,7,,,UM-15
,distance category,far,,,UM-15
,pot position,6,,,UM-15
,pot ID,105.0,,,UM-15
,distance category,near,,,UM-15
,pot position,5,,,UM-15
,pot ID,78.0,,,UM-15
,distance category,near,,,UM-15
,pot position,4,,,UM-15
,pot ID,44.0,,,UM-15
,distance category,near,,,UM-15
,pot position,3,,,UM-15
,pot ID,54.0,,,UM-15
,distance category,near,,,UM-15
,pot position,2,,,UM-15
,pot ID,40.0,,,UM-15
,distance category,near,,,UM-15
,pot position,2,,,UM-15
,pot ID,40.0,,,UM-15
,distance category,near,,,UM-15
,pot position,1,,,UM-15
,pot ID,20.0,,,UM-15
,distance category,near,,,UM-15
,pot position,15,,,UM-12
,pot ID,31.0,,,UM-12
,distance category,far,,,UM-12
,pot position,14,,,UM-12
,pot ID,85.0,,,UM-12
,distance category,far,,,UM-12
,pot position,13,,,UM-12
,pot ID,101.0,,,UM-12
,distance category,far,,,UM-12
,pot position,12,,,UM-12
,pot ID,92.0,,,UM-12
,distance category,far,,,UM-12
,pot position,12,,,UM-12
,pot ID,92.0,,,UM-12
,distance category,far,,,UM-12
,pot position,11,,,UM-12
,pot ID,62.0,,,UM-12
,distance category,far,,,UM-12
,pot position,11,,,UM-12
,pot ID,62.0,,,UM-12
,distance category,far,,,UM-12
,pot position,10,,,UM-12
,pot ID,2.0,,,UM-12
,distance category,far,,,UM-12
,pot position,9,,,UM-12
,pot ID,64.0,,,UM-12
,distance category,far,,,UM-12
,pot position,9,,,UM-12
,pot ID,64.0,,,UM-12
,distance category,far,,,UM-12
,pot position,8,,,UM-12
,pot ID,94.0,,,UM-12
,distance category,far,,,UM-12
,pot position,7,,,UM-12
,pot ID,46.0,,,UM-12
,distance category,far,,,UM-12
,pot position,6,,,UM-12
,pot ID,6.0,,,UM-12
,distance category,near,,,UM-12
,pot position,5,,,UM-12
,pot ID,25.0,,,UM-12
,distance category,near,,,UM-12
,pot position,4,,,UM-12
,pot ID,31.0,,,UM-12
,distance category,near,,,UM-12
,pot position,3,,,UM-12
,pot ID,57.0,,,UM-12
,distance category,near,,,UM-12
,pot position,2,,,UM-12
,pot ID,53.0,,,UM-12
,distance category,near,,,UM-12
,pot position,1,,,UM-12
,pot ID,48.0,,,UM-12
,distance category,near,,,UM-12
,pot position,1,,,UM-12
,pot ID,48.0,,,UM-12
,distance category,near,,,UM-12
,pot position,15,,,UJ-11
,pot ID,59.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,14,,,UJ-11
,pot ID,7.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,13,,,UJ-11
,pot ID,87.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,12,,,UJ-11
,pot ID,4.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,12,,,UJ-11
,pot ID,4.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,11,,,UJ-11
,pot ID,88.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,10,,,UJ-11
,pot ID,84.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,9,,,UJ-11
,pot ID,77.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,8,,,UJ-11
,pot ID,9.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,7,,,UJ-11
,pot ID,49.0,,,UJ-11
,distance category,far,,,UJ-11
,pot position,6,,,UJ-11
,pot ID,26.0,,,UJ-11
,distance category,near,,,UJ-11
,pot position,5,,,UJ-11
,pot ID,75.0,,,UJ-11
,distance category,near,,,UJ-11
,pot position,4,,,UJ-11
,pot ID,34.0,,,UJ-11
,distance category,near,,,UJ-11
,pot position,3,,,UJ-11
,pot ID,68.0,,,UJ-11
,distance category,near,,,UJ-11
,pot position,2,,,UJ-11
,pot ID,15.0,,,UJ-11
,distance category,near,,,UJ-11
,pot position,1,,,UJ-11
,pot ID,5.0,,,UJ-11
,distance category,near,,,UJ-11
,pot position,15,,,UH-11
,pot ID,69.0,,,UH-11
,distance category,far,,,UH-11
,pot position,14,,,UH-11
,pot ID,56.0,,,UH-11
,distance category,far,,,UH-11
,pot position,13,,,UH-11
,pot ID,57.0,,,UH-11
,distance category,far,,,UH-11
,pot position,12,,,UH-11
,pot ID,52.0,,,UH-11
,distance category,far,,,UH-11
,pot position,11,,,UH-11
,pot ID,58.0,,,UH-11
,distance category,far,,,UH-11
,pot position,10,,,UH-11
,pot ID,12.0,,,UH-11
,distance category,far,,,UH-11
,pot position,9,,,UH-11
,pot ID,72.0,,,UH-11
,distance category,far,,,UH-11
,pot position,8,,,UH-11
,pot ID,38.0,,,UH-11
,distance category,far,,,UH-11
,pot position,8,,,UH-11
,pot ID,38.0,,,UH-11
,distance category,far,,,UH-11
,pot position,7,,,UH-11
,pot ID,79.0,,,UH-11
,distance category,far,,,UH-11
,pot position,6,,,UH-11
,pot ID,81.0,,,UH-11
,distance category,near,,,UH-11
,pot position,5,,,UH-11
,pot ID,19.0,,,UH-11
,distance category,near,,,UH-11
,pot position,4,,,UH-11
,pot ID,76.0,,,UH-11
,distance category,near,,,UH-11
,pot position,4,,,UH-11
,pot ID,76.0,,,UH-11
,distance category,near,,,UH-11
,pot position,3,,,UH-11
,pot ID,91.0,,,UH-11
,distance category,near,,,UH-11
,pot position,3,,,UH-11
,pot ID,91.0,,,UH-11
,distance category,near,,,UH-11
,pot position,2,,,UH-11
,pot ID,1.0,,,UH-11
,distance category,near,,,UH-11
,pot position,1,,,UH-11
,pot ID,27.0,,,UH-11
,distance category,near,,,UH-11
,pot position,1,,,UH-11
,pot ID,27.0,,,UH-11
,distance category,near,,,UH-11
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,far,,,C2404-1
,distance category,near,,,C2404-1
,distance category,near,,,C2404-1
,distance category,near,,,C2404-1
,distance category,near,,,C2404-2
,distance category,near,,,C2404-2
,distance category,near,,,C2404-2
,distance category,near,,,C2404-2
,distance category,near,,,C2404-2
,distance category,near,,,C2404-2
,distance category,near,,,C2404-2
,distance category,near,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,far,,,C2404-2
,distance category,near,,,UM-15
,distance category,near,,,UM-15
,distance category,near,,,UM-15
,distance category,near,,,UM-15
,distance category,near,,,UM-15
,distance category,near,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-15
,distance category,far,,,UM-12
,distance category,far,,,UM-12
,distance category,far,,,UM-12
,distance category,far,,,UM-12
,distance category,far,,,UM-12
,distance category,far,,,UM-12
,distance category,far,,,UM-12
,distance category,near,,,UM-12
,distance category,near,,,UM-12
,distance category,near,,,UM-12
,distance category,near,,,UM-12
,distance category,near,,,UM-12
,distance category,near,,,UM-12
,distance category,near,,,UM-12
,distance category,far,,,UJ-11
,distance category,far,,,UJ-11
,distance category,far,,,UJ-11
,distance category,far,,,UJ-11
